Date,Open,High,Low,Close,Volume
1/2/2020,74.05999756,75.15000153,73.79750061,75.08750153,135480400
1/3/2020,74.28749847,75.14499664,74.125,74.35749817,146322800
1/6/2020,73.44750214,74.98999786,73.1875,74.94999695,118387200
1/7/2020,74.95999908,75.22499847,74.37000275,74.59750366,108872000
1/8/2020,74.29000092,76.11000061,74.29000092,75.79750061,132079200
1/9/2020,76.80999756,77.60749817,76.55000305,77.40750122,170108400
1/10/2020,77.65000153,78.16750336,77.0625,77.58249664,140644800
1/13/2020,77.91000366,79.26750183,77.78749847,79.23999786,121532000
1/14/2020,79.17500305,79.39250183,78.04250336,78.16999817,161954400
1/15/2020,77.96250153,78.875,77.38749695,77.83499908,121923600
1/16/2020,78.39749908,78.92500305,78.02249908,78.80999756,108829200
1/17/2020,79.06749725,79.68499756,78.75,79.68250275,137816400
1/21/2020,79.29750061,79.75499725,79,79.14250183,110843200
1/22/2020,79.64499664,79.99749756,79.32749939,79.42500305,101832400
1/23/2020,79.48000336,79.88999939,78.91249847,79.80750275,104472000
1/24/2020,80.0625,80.83249664,79.37999725,79.57749939,146537600
1/27/2020,77.51499939,77.94249725,76.22000122,77.23750305,161940000
1/28/2020,78.15000153,79.59999847,78.04750061,79.42250061,162234000
1/29/2020,81.11250305,81.96250153,80.34500122,81.08499908,216229200
1/30/2020,80.13500214,81.02249908,79.6875,80.96749878,126743200
1/31/2020,80.23249817,80.66999817,77.07250214,77.37750244,199588400
2/3/2020,76.07499695,78.37249756,75.55500031,77.16500092,173788400
2/4/2020,78.82749939,79.91000366,78.40750122,79.71250153,136616400
2/5/2020,80.87999725,81.19000244,79.73750305,80.36250305,118826800
2/6/2020,80.64250183,81.30500031,80.06500244,81.30249786,105425600
2/7/2020,80.59249878,80.84999847,79.5,80.00749969,117684000
2/10/2020,78.54499817,80.38749695,78.46250153,80.38749695,109348800
2/11/2020,80.90000153,80.97499847,79.67749786,79.90249634,94323200
2/12/2020,80.36750031,81.80500031,80.36750031,81.80000305,113730400
2/13/2020,81.04750061,81.55500031,80.83750153,81.21749878,94747600
2/14/2020,81.18499756,81.49500275,80.71250153,81.23750305,80113600
2/18/2020,78.83999634,79.9375,78.65249634,79.75,152531200
2/19/2020,80,81.14250183,80,80.90499878,93984000
2/20/2020,80.65750122,81.16249847,79.55249786,80.07499695,100566000
2/21/2020,79.65499878,80.11250305,77.625,78.26249695,129554000
2/24/2020,74.31500244,76.04499817,72.30750275,74.54499817,222195200
2/25/2020,75.23750305,75.63249969,71.53250122,72.01999664,230673600
2/26/2020,71.63249969,74.47000122,71.625,73.16249847,198054800
2/27/2020,70.27500153,71.5,68.23999786,68.37999725,320605600
2/28/2020,64.31500244,69.60250092,64.09249878,68.33999634,426510000
3/2/2020,70.56999969,75.36000061,69.43000031,74.70249939,341397200
3/3/2020,75.91750336,76,71.44999695,72.33000183,319475600
3/4/2020,74.11000061,75.84999847,73.28250122,75.68499756,219178400
3/5/2020,73.87999725,74.88749695,72.85250092,73.23000336,187572800
3/6/2020,70.5,72.70500183,70.30750275,72.25749969,226176800
3/9/2020,65.9375,69.52249908,65.75,66.54250336,286744800
3/10/2020,69.28500366,71.61000061,67.34249878,71.33499908,285290000
3/11/2020,69.34750366,70.30500031,67.96499634,68.85749817,255598800
3/12/2020,63.98500061,67.5,62,62.05749893,418474000
3/13/2020,66.22250366,69.98000336,63.23749924,69.49250031,370732000
3/16/2020,60.48749924,64.76999664,60,60.55250168,322423600
3/17/2020,61.87749863,64.40249634,59.59999847,63.21500015,324056000
3/18/2020,59.94250107,62.5,59.27999878,61.66749954,300233600
3/19/2020,61.84749985,63.20999908,60.65250015,61.19499969,271857200
3/20/2020,61.79499817,62.95750046,57,57.31000137,401693200
3/23/2020,57.02000046,57.125,53.15250015,56.09249878,336752800
3/24/2020,59.09000015,61.92250061,58.57500076,61.72000122,287531200
3/25/2020,62.6875,64.5625,61.07500076,61.38000107,303602000
3/26/2020,61.63000107,64.66999817,61.59000015,64.61000061,252087200
3/27/2020,63.1875,63.96749878,61.76250076,61.93500137,204216800
3/30/2020,62.68500137,63.88000107,62.34999847,63.70249939,167976400
3/31/2020,63.90000153,65.62249756,63,63.57249832,197002000
4/1/2020,61.625,62.18000031,59.78250122,60.22750092,176218400
4/2/2020,60.08499908,61.28749847,59.22499847,61.23249817,165934000
4/3/2020,60.70000076,61.42499924,59.74250031,60.35250092,129880000
4/6/2020,62.72499847,65.77749634,62.34500122,65.61750031,201820400
4/7/2020,67.69999695,67.92500305,64.75,64.85749817,202887200
4/8/2020,65.68499756,66.84249878,65.30750275,66.51750183,168895200
4/9/2020,67.17500305,67.51750183,66.17500305,66.99749756,161834800
4/13/2020,67.07749939,68.42500305,66.45749664,68.3125,131022800
4/14/2020,70,72.0625,69.51249695,71.76249695,194994800
4/15/2020,70.59999847,71.58249664,70.15750122,71.10749817,131154400
4/16/2020,71.84500122,72.05000305,70.58750153,71.67250061,157125200
4/17/2020,71.17250061,71.73750305,69.21499634,70.69999695,215250000
4/20/2020,69.48750305,70.41999817,69.21250153,69.23249817,130015200
4/21/2020,69.06999969,69.3125,66.35749817,67.09249878,180991600
4/22/2020,68.40249634,69.47499847,68.05000305,69.02500153,116862400
4/23/2020,68.96749878,70.4375,68.71749878,68.75749969,124814400
4/24/2020,69.30000305,70.75250244,69.25,70.74250031,126161200
4/27/2020,70.44999695,71.13500214,69.98750305,70.79250336,117087600
4/28/2020,71.26999664,71.45749664,69.55000305,69.64499664,112004800
4/29/2020,71.18250275,72.41750336,70.97250366,71.93250275,137280800
4/30/2020,72.48999786,73.63249969,72.08750153,73.44999695,183064000
5/1/2020,71.5625,74.75,71.46250153,72.26750183,240616800
5/4/2020,72.29250336,73.42250061,71.58000183,73.29000092,133568000
5/5/2020,73.76499939,75.25,73.61499786,74.38999939,147751200
5/6/2020,75.11499786,75.80999756,74.71749878,75.15750122,142333600
5/7/2020,75.80500031,76.29250336,75.49250031,75.93499756,115215200
5/8/2020,76.41000366,77.58750153,76.07250214,77.53250122,133838400
5/11/2020,77.02500153,79.26249695,76.80999756,78.75250244,145946400
5/12/2020,79.45749664,79.92250061,77.72750092,77.85250092,162301200
5/13/2020,78.03749847,78.98750305,75.80249786,76.91249847,200622400
5/14/2020,76.12750244,77.44750214,75.38249969,77.38500214,158929200
5/15/2020,75.08750153,76.97499847,75.05249786,76.92749786,166348400
5/18/2020,78.29250336,79.125,77.58000183,78.73999786,135178400
5/19/2020,78.75749969,79.62999725,78.25250244,78.28500366,101729600
5/20/2020,79.16999817,79.87999725,79.12999725,79.80750275,111504800
5/21/2020,79.66500092,80.22250366,78.96749878,79.21250153,102688800
5/22/2020,78.94249725,79.80750275,78.83750153,79.72250366,81803200
5/26/2020,80.875,81.05999756,79.125,79.18250275,125522000
5/27/2020,79.03500366,79.67749786,78.27249908,79.52749634,112945200
5/28/2020,79.19249725,80.86000061,78.90750122,79.5625,133560800
5/29/2020,79.8125,80.28749847,79.11750031,79.48500061,153532400
6/1/2020,79.4375,80.58750153,79.30249786,80.46250153,80791200
6/2/2020,80.1875,80.86000061,79.73249817,80.83499908,87642800
6/3/2020,81.16500092,81.55000305,80.57499695,81.27999878,104491200
6/4/2020,81.09750366,81.40499878,80.19499969,80.58000183,87560400
6/5/2020,80.83750153,82.9375,80.80750275,82.875,137250400
6/8/2020,82.5625,83.40000153,81.83000183,83.36499786,95654400
6/9/2020,83.03500366,86.40249634,83.00250244,85.99749756,147712400
6/10/2020,86.97499847,88.69249725,86.52249908,88.20999908,166651600
6/11/2020,87.32749939,87.76499939,83.87000275,83.97499847,201662400
6/12/2020,86.18000031,86.94999695,83.55500031,84.69999695,200146000
6/15/2020,83.3125,86.41999817,83.14499664,85.74749756,138808800
6/16/2020,87.86499786,88.30000305,86.18000031,88.01999664,165428800
6/17/2020,88.78749847,88.84999847,87.77249908,87.89749908,114406400
6/18/2020,87.85250092,88.36250305,87.30500031,87.93250275,96820400
6/19/2020,88.66000366,89.13999939,86.28749847,87.43000031,264476000
6/22/2020,87.83499908,89.86499786,87.78749847,89.71749878,135445200
6/23/2020,91,93.09500122,90.56749725,91.63249969,212155600
6/24/2020,91.25,92.19750214,89.62999725,90.01499939,192623200
6/25/2020,90.17500305,91.25,89.39250183,91.20999908,137522400
6/26/2020,91.10250092,91.33000183,88.25499725,88.40750122,205256800
6/29/2020,88.3125,90.54250336,87.81999969,90.44499969,130646000
6/30/2020,90.01999664,91.49500275,90,91.19999695,140223200
7/1/2020,91.27999878,91.83999634,90.97750092,91.02749634,110737200
7/2/2020,91.96250153,92.61750031,90.91000366,91.02749634,114041600
